cell_id,latitude,longitude,solar_score,specific_yield_kwh_kwp,reference_yield_800w_kwh,reference_energy_value_eur,sample_bucket,sample_grid_m,pvgis_version
CRS3035RES100mN3090000E4100300,50.8793471,6.8638337,73,761.9,609.5,145.06,E4100000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090000E4102700,50.8802665,6.8979080,73,762.0,609.6,145.09,E4102000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090100E4099400,50.8798977,6.8509953,73,762.0,609.6,145.09,E4099000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090100E4099800,50.8800523,6.8566743,73,762.0,609.6,145.09,E4099000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090100E4100800,50.8804375,6.8708720,73,761.9,609.5,145.06,E4100000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090400E4097000,50.8816583,6.8167378,71,760.8,608.6,144.86,E4097000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090500E4099600,50.8835669,6.8535920,73,762.0,609.6,145.09,E4099000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090500E4101200,50.8841830,6.8763100,72,761.4,609.1,144.96,E4101000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090600E4098600,50.8840776,6.8393325,71,760.8,608.6,144.85,E4098000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090600E4099600,50.8844649,6.8535313,73,762.0,609.6,145.09,E4099000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090600E4102500,50.8855783,6.8947089,73,762.0,609.6,145.09,E4102000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090900E4114600,50.8927599,7.0663685,53,734.3,587.5,139.82,E4114000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3090900E4115700,50.8931552,7.0819917,53,734.4,587.5,139.83,E4115000N3090000,1000,PVGIS 5.3
CRS3035RES100mN3091000E4102100,50.8890176,6.8887890,73,762.3,609.8,145.14,E4102000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091100E4121600,50.8970358,7.1656839,51,731.7,585.3,139.31,E4121000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091400E4109200,50.8952790,6.9893855,63,748.4,598.7,142.5,E4109000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091400E4112800,50.8965989,7.0405180,61,746.3,597.0,142.09,E4112000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091400E4121700,50.8997651,7.1669402,51,731.7,585.3,139.31,E4121000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091700E4098500,50.8939163,6.8372412,72,761.0,608.8,144.89,E4098000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091700E4100600,50.8947283,6.8670651,73,762.3,609.8,145.14,E4100000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091800E4111300,50.8996439,7.0189823,61,746.3,597.0,142.09,E4111000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3091900E4100300,50.8964087,6.8626834,73,762.3,609.8,145.14,E4100000N3091000,1000,PVGIS 5.3
CRS3035RES100mN3092000E4120500,50.9047351,7.1495634,46,722.8,578.2,137.62,E4120000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092200E4100700,50.8992566,6.8681830,74,762.4,609.9,145.17,E4100000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092200E4112000,50.9034921,7.0286961,57,743.9,595.1,141.63,E4112000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092300E4096700,50.8986019,6.8113092,69,758.6,606.9,144.45,E4096000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092600E4099500,50.9023857,6.8508958,71,760.6,608.5,144.81,E4099000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092700E4099500,50.9032836,6.8508350,71,760.6,608.5,144.81,E4099000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3092900E4095400,50.9034789,6.7924741,70,759.7,607.7,144.64,E4095000N3092000,1000,PVGIS 5.3
CRS3035RES100mN3093400E4095200,50.9078897,6.7893232,70,760.1,608.1,144.72,E4095000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093500E4110300,50.9145439,7.0037942,57,744.2,595.4,141.7,E4110000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093500E4116700,50.9168636,7.0947365,51,732.0,585.6,139.36,E4116000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093600E4094800,50.9095277,6.7835168,74,762.8,610.2,145.23,E4094000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3093800E4109500,50.9169431,6.9922527,59,744.9,595.9,141.82,E4109000N3093000,1000,PVGIS 5.3
CRS3035RES100mN3094100E4117200,50.9224305,7.1015057,46,723.6,578.9,137.78,E4117000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094500E4112600,50.9243665,7.0359030,58,744.6,595.7,141.77,E4112000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094500E4117000,50.9259517,7.0984390,46,723.6,578.9,137.78,E4117000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094600E4111600,50.9248996,7.0216332,57,743.8,595.1,141.63,E4111000N3094000,1000,PVGIS 5.3
