cell_id,latitude,longitude,building_count,total_footprint_m2,avg_footprint_m2,coverage_ratio,building_fit,source
CRS3035RES100mN3095900E4100000,50.9322118,6.8559942,27,3953.3,146.4,0.3953,0.9913,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093200E4107000,50.9106258,6.9570817,20,3704.0,185.2,0.3704,0.9912,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106300E4109400,51.0291603,6.9835431,30,3959.4,132.0,0.3959,0.9910,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095500E4106400,50.9310557,6.9472009,30,3961.5,132.1,0.3962,0.9909,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095400E4111600,50.9320841,7.0211727,26,3961.3,152.4,0.3961,0.9909,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3104600E4103900,51.0118296,6.9062237,21,3700.7,176.2,0.3701,0.9909,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099500E4107900,50.9675373,6.9661758,19,3963.8,208.6,0.3964,0.9908,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3108200E4110100,51.0464818,6.9924059,38,3963.7,104.3,0.3964,0.9908,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3109900E4105100,51.0598776,6.9201458,35,3698.8,105.7,0.3699,0.9907,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098300E4104600,50.9555219,6.9199495,27,3697.5,136.9,0.3698,0.9906,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3105700E4102400,51.0211351,6.8842025,27,3698.4,137.0,0.3698,0.9906,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100500E4115200,50.9791925,7.0694568,35,3966.1,113.3,0.3966,0.9906,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099800E4101500,50.9678101,6.8749586,22,3965.8,180.3,0.3966,0.9906,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100100E4115400,50.9756721,7.0725294,31,3968.5,128.0,0.3968,0.9905,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095700E4100000,50.9304159,6.8561158,35,3968.8,113.4,0.3969,0.9905,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099700E4115300,50.9720438,7.0713333,30,3968.8,132.3,0.3969,0.9905,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100000E4115600,50.9748460,7.0754316,31,3695.5,119.2,0.3695,0.9904,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3087400E4110100,50.8596885,7.0044812,39,3769.0,96.6,0.3769,0.9904,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3092900E4107300,50.9080437,6.9615200,20,3971.5,198.6,0.3971,0.9903,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096800E4106100,50.9426173,6.9421684,29,3693.9,127.4,0.3694,0.9902,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098800E4111700,50.9626547,7.0206359,20,3974.6,198.7,0.3975,0.9901,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106500E4109500,51.0309934,6.9848506,29,3691.9,127.3,0.3692,0.9900,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3086000E4116900,50.8495761,7.1017765,37,3977.2,107.5,0.3977,0.9900,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3106200E4109800,51.0284104,6.9892991,19,3977.2,209.3,0.3977,0.9900,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098500E4104700,50.9573557,6.9212525,40,3808.0,95.2,0.3808,0.9899,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098000E4105100,50.9530169,6.9272383,24,3689.9,153.7,0.3690,0.9899,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095000E4103600,50.9255089,6.9077020,38,3981.4,104.8,0.3981,0.9898,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095100E4103800,50.9264828,6.9104847,36,3981.2,110.6,0.3981,0.9898,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095200E4110200,50.9297740,7.0013885,31,3689.6,119.0,0.3690,0.9898,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3103200E4113400,51.0027892,7.0422984,40,3831.8,95.8,0.3832,0.9898,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099100E4106400,50.9633843,6.9450749,29,3688.3,127.2,0.3688,0.9897,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096600E4110400,50.9424203,7.0034204,29,3982.7,137.3,0.3983,0.9897,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096800E4110800,50.9443636,7.0089917,18,3981.8,221.2,0.3982,0.9897,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3103200E4096800,50.9965157,6.8060044,36,3687.8,102.4,0.3688,0.9897,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094500E4105100,50.9215866,6.9293166,34,3985.0,117.2,0.3985,0.9896,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100000E4103900,50.9705224,6.9089783,20,3687.2,184.4,0.3687,0.9896,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096300E4107500,50.9386514,6.9623664,21,3687.1,175.6,0.3687,0.9896,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099400E4113100,50.9685538,7.0402060,33,3686.6,111.7,0.3687,0.9896,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3109800E4112700,51.0618055,7.0285327,34,3986.9,117.3,0.3987,0.9895,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099800E4101300,50.9677332,6.8721137,19,3986.9,209.8,0.3987,0.9895,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093400E4105100,50.9117085,6.9299691,27,3989.1,147.7,0.3989,0.9893,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098700E4110800,50.9614265,7.0078924,33,3683.5,111.6,0.3684,0.9893,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100400E4119900,50.9799673,7.1363921,30,3682.7,122.8,0.3683,0.9892,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094900E4103900,50.9247247,6.9120252,40,3922.4,98.1,0.3922,0.9892,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093600E4095800,50.9099219,6.7977229,26,3991.0,153.5,0.3991,0.9892,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096400E4110900,50.9408081,7.0106448,40,3945.3,98.6,0.3945,0.9891,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3091600E4102600,50.8945964,6.8955297,28,3992.9,142.6,0.3993,0.9891,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098300E4104400,50.9554462,6.9171053,30,3993.9,133.1,0.3994,0.9891,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098600E4106200,50.9588191,6.9425260,36,3995.3,111.0,0.3995,0.9890,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096400E4105400,50.9387619,6.9324536,34,3680.2,108.2,0.3680,0.9890,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094900E4106100,50.9255550,6.9432912,32,3995.7,124.9,0.3996,0.9889,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110500E4110800,51.0673946,7.0010424,21,3678.2,175.2,0.3678,0.9888,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093700E4109300,50.9159711,6.9894689,39,3756.8,96.3,0.3757,0.9887,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099600E4108700,50.9687330,6.9774974,20,3676.6,183.8,0.3677,0.9886,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098000E4103300,50.9523346,6.9016421,29,4002.1,138.0,0.4002,0.9886,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097500E4106700,50.9491285,6.9502860,26,4004.4,154.0,0.4004,0.9885,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099800E4111000,50.9713785,7.0101008,37,4005.8,108.3,0.4006,0.9884,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096000E4110000,50.9368847,6.9980816,34,3673.8,108.1,0.3674,0.9884,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099900E4110900,50.9722398,7.0086202,33,4006.4,121.4,0.4006,0.9883,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096100E4110400,50.9379301,7.0037100,31,3672.8,118.5,0.3673,0.9883,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093400E4105700,50.9119344,6.9384938,34,4006.5,117.8,0.4006,0.9883,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3093900E4109300,50.9177672,6.9893526,39,3753.1,96.2,0.3753,0.9882,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3096600E4106600,50.9410089,6.9493950,32,4009.3,125.3,0.4009,0.9882,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099500E4113200,50.9694882,7.0415713,40,4009.3,100.2,0.4009,0.9882,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098300E4104800,50.9555975,6.9227937,32,3671.0,114.7,0.3671,0.9881,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095400E4111400,50.9320109,7.0183298,27,3670.1,135.9,0.3670,0.9880,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3094700E4107400,50.9242456,6.9618845,35,4013.3,114.7,0.4013,0.9880,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3095500E4105500,50.9307175,6.9344086,38,4012.9,105.6,0.4013,0.9880,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3100300E4118900,50.9787165,7.1222180,25,4016.6,160.7,0.4017,0.9878,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3097200E4106200,50.9462469,6.9433537,26,4018.7,154.6,0.4019,0.9877,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098900E4107300,50.9619253,6.9579940,38,4019.2,105.8,0.4019,0.9876,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3099600E4110800,50.9695089,7.0073713,31,4019.1,129.6,0.4019,0.9876,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110300E4110700,51.0655617,6.9997332,36,3664.2,101.8,0.3664,0.9875,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3098600E4103800,50.9579126,6.9083933,27,4022.7,149.0,0.4023,0.9874,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3091400E4103400,50.8931049,6.9070110,24,3663.0,152.6,0.3663,0.9874,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3092800E4107500,50.9072203,6.9644200,23,3662.7,159.2,0.3663,0.9874,Geobasis NRW / ALKIS vereinfacht
CRS3035RES100mN3110600E4111800,51.0686604,7.0152404,24,4025.4,167.7,0.4025,0.9873,Geobasis NRW / ALKIS vereinfacht
