cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN3100500E4106800,Raster CRS3035RES100mN3100500E4106800,50.9761064,6.9499382,79,100,100,57,50,50
CRS3035RES100mN3095400E4106100,Raster CRS3035RES100mN3095400E4106100,50.9300451,6.9429958,79,100,95,63,50,50
CRS3035RES100mN3095200E4110200,Raster CRS3035RES100mN3095200E4110200,50.929774,7.0013885,79,100,99,58,50,50
CRS3035RES100mN3092700E4106100,Raster CRS3035RES100mN3092700E4106100,50.9057986,6.94459,79,100,97,63,50,50
CRS3035RES100mN3094200E4106800,Raster CRS3035RES100mN3094200E4106800,50.9195313,6.9536518,79,100,98,59,50,50
CRS3035RES100mN3094400E4104900,Raster CRS3035RES100mN3094400E4104900,50.9206131,6.9265339,79,100,96,63,50,50
CRS3035RES100mN3096900E4105900,Raster CRS3035RES100mN3096900E4105900,50.9434402,6.9392658,79,100,97,63,50,50
CRS3035RES100mN3097300E4106400,Raster CRS3035RES100mN3097300E4106400,50.94722,6.9461383,79,100,93,64,50,50
CRS3035RES100mN3096500E4111000,Raster CRS3035RES100mN3096500E4111000,50.9417429,7.0120087,79,100,97,59,50,50
CRS3035RES100mN3094900E4106200,Raster CRS3035RES100mN3094900E4106200,50.9255926,6.9447124,79,100,100,59,50,50
CRS3035RES100mN3095200E4103900,Raster CRS3035RES100mN3095200E4103900,50.9274187,6.9118462,79,100,96,63,50,50
CRS3035RES100mN3095600E4104400,Raster CRS3035RES100mN3095600E4104400,50.9312002,6.9187143,79,100,94,63,50,50
CRS3035RES100mN3095500E4104100,Raster CRS3035RES100mN3095500E4104100,50.9301886,6.9145098,79,100,95,63,50,50
CRS3035RES100mN3095200E4106300,Raster CRS3035RES100mN3095200E4106300,50.9283241,6.9459566,79,100,96,63,50,50
CRS3035RES100mN3095000E4106100,Raster CRS3035RES100mN3095000E4106100,50.926453,6.9432321,79,100,97,63,50,50
CRS3035RES100mN3098300E4104400,Raster CRS3035RES100mN3098300E4104400,50.9554462,6.9171053,79,100,99,57,50,50
CRS3035RES100mN3096300E4111900,Raster CRS3035RES100mN3096300E4111900,50.9402764,7.0249195,79,100,100,59,50,50
CRS3035RES100mN3096300E4112100,Raster CRS3035RES100mN3096300E4112100,50.9403494,7.027763,79,100,98,59,50,50
CRS3035RES100mN3096800E4110700,Raster CRS3035RES100mN3096800E4110700,50.9443268,7.0075699,79,100,100,59,50,50
CRS3035RES100mN3096100E4110400,Raster CRS3035RES100mN3096100E4110400,50.9379301,7.00371,79,100,99,59,50,50
CRS3035RES100mN3094000E4104500,Raster CRS3035RES100mN3094000E4104500,50.91687,6.9210877,79,100,95,63,50,50
CRS3035RES100mN3097000E4106600,Raster CRS3035RES100mN3097000E4106600,50.944601,6.9491591,79,100,95,64,50,50
CRS3035RES100mN3095600E4109800,Raster CRS3035RES100mN3095600E4109800,50.9332187,6.9954707,79,100,97,60,50,50
CRS3035RES100mN3095700E4105400,Raster CRS3035RES100mN3095700E4105400,50.9324759,6.9328687,79,100,97,63,50,50
CRS3035RES100mN3095700E4106300,Raster CRS3035RES100mN3095700E4106300,50.9328142,6.9456614,79,95,100,63,50,50
CRS3035RES100mN3098200E4104600,Raster CRS3035RES100mN3098200E4104600,50.9546239,6.920009,79,100,99,57,50,50
CRS3035RES100mN3095000E4107400,Raster CRS3035RES100mN3095000E4107400,50.9269397,6.9617083,79,100,99,60,50,50
CRS3035RES100mN3100000E4103900,Raster CRS3035RES100mN3100000E4103900,50.9705224,6.9089783,79,100,99,57,50,50
CRS3035RES100mN3096900E4104700,Raster CRS3035RES100mN3096900E4104700,50.9429877,6.922205,79,100,95,64,50,50
CRS3035RES100mN3096800E4105800,Raster CRS3035RES100mN3096800E4105800,50.9425046,6.9379032,79,97,98,63,50,50
CRS3035RES100mN3093600E4104500,Raster CRS3035RES100mN3093600E4104500,50.9132779,6.9213256,79,100,97,63,50,50
CRS3035RES100mN3094900E4106100,Raster CRS3035RES100mN3094900E4106100,50.925555,6.9432912,79,100,99,59,50,50
CRS3035RES100mN3094800E4104900,Raster CRS3035RES100mN3094800E4104900,50.9242052,6.9262963,79,100,97,63,50,50
CRS3035RES100mN3096100E4105400,Raster CRS3035RES100mN3096100E4105400,50.9360679,6.9326315,79,100,96,63,50,50
CRS3035RES100mN3094300E4104900,Raster CRS3035RES100mN3094300E4104900,50.9197151,6.9265933,79,100,95,63,50,50
CRS3035RES100mN3092000E4102600,Raster CRS3035RES100mN3092000E4102600,50.8981884,6.89529,79,100,87,74,50,50
CRS3035RES100mN3095600E4111500,Raster CRS3035RES100mN3095600E4111500,50.9338436,7.0196361,79,100,98,59,50,50
CRS3035RES100mN3097000E4105900,Raster CRS3035RES100mN3097000E4105900,50.9443382,6.9392066,78,100,96,56,50,50
CRS3035RES100mN3096100E4105500,Raster CRS3035RES100mN3096100E4105500,50.9361056,6.934053,78,100,90,63,50,50
CRS3035RES100mN3101000E4106700,Raster CRS3035RES100mN3101000E4106700,50.980559,6.9482201,78,100,97,57,50,50
CRS3035RES100mN3093800E4105000,Raster CRS3035RES100mN3093800E4105000,50.9152628,6.928311,78,95,97,63,50,50
CRS3035RES100mN3097900E4106900,Raster CRS3035RES100mN3097900E4106900,50.9527955,6.9528942,78,100,91,64,50,50
